Համայնք,Տեղադրման—Ամսաթիվ,Թարմացման—Ամսաթիվ,Գին,Հասցե,Տարածաշրջան,Շինության տիպ,Նորակառույց,Վերելակ,Հարկերի քանակ,Ընդհանուր մակերես,Սենյակների քանակ,Սանհանգույցների քանակ,Առաստաղի բարձրություն,Հարկ,Պատշգամբ,Կահույք,Վերանորոգում,հեռուստացույց,օդորակիչ,ինտերնետ,սառնարան,սալօջախ,միկրոալիքային վառարան,սրճեփ,սպասք լվացող մեքենա,լվացքի մեքենա,ջրատաքացուցիչ,արդուկ,ֆեն,Կարելի է երեխաների հետ,Թույլատրվում են ընտանի կենդանիներ,Կոմունալ վճարումներ,Կանխավճար,դոմոֆոն,կայանատեղի,տեսարան դեպի բակ,տեսարան դեպի փողոց,տեսարան դեպի քաղաք,տեսարան դեպի արարատ,խաղահրապարակ,տեսարան դեպի այգի,դռնապահ,չորացնող մեքենա,Հին–Հայտարարություն,Գին_մեկ_մետրի_համար,Մակերես_մեկ_սենյակի_համար
305770,2024-10-23,06.11.2024,400000,Սունդուկյան փողոց 27,Երևան,1,2,1,12,90.0,4,2,2.8,11,1,1,2,1,0,1,1,1,0,0,0,1,1,0,0,1,3,3,4,1,1,1,1,1,1,1,0,0,0,14,4444,22
249600,2024-08-14,06.11.2024,160000,Աջափնյակ վարչական շրջան,Երևան,2,2,1,9,113.0,4,1,2.8,4,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,1,1,1,1,1,0,1,1,0,0,84,1415,28
449256,2024-09-01,06.11.2024,150000,Նորագումուհի փողոց 70/1,Երեւան,1,1,2,1,24.0,1,1,2.8,1,4,1,3,0,1,1,1,1,0,0,0,1,1,0,0,2,2,3,2,0,1,1,1,1,1,1,0,1,0,66,6250,24
305770,2024-10-22,06.11.2024,260000,Կոմիտասի պողոտա 25,Երևան,1,2,2,5,97.0,3,1,3.0,2,3,1,4,1,0,1,1,1,1,0,0,1,1,1,0,1,3,3,4,1,1,1,1,0,0,1,0,0,0,15,2680,32
449256,2024-03-19,06.11.2024,380000,Տիգրան Մեծի պողոտա 37,Երևան,1,2,2,4,97.0,3,2,3.2,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,1,1,1,1,1,1,0,0,0,0,232,3917,32
305770,2024-10-25,06.11.2024,230000,Կոմիտասի պողոտա,Երևան,1,2,2,5,31.0,1,1,2.75,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,12,7419,31
449256,2024-05-15,06.11.2024,750000,Զաքյան փողոց 5,Երևան,1,1,1,5,179.0,5,3,3.0,5,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,2,3,4,1,1,1,1,1,0,0,1,0,0,175,4189,35
242278,2024-08-19,06.11.2024,370000,Մոլդովական փողոց,Երեւան,3,1,1,17,95.0,3,3,3.2,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,79,3894,31
230312,2024-10-06,06.11.2024,200000,Չեխովի փողոց 16,Երևան,1,2,2,5,100.0,3,1,2.8,1,4,1,3,0,0,1,1,1,0,0,0,1,1,1,0,1,3,3,2,0,1,1,1,0,0,0,0,0,0,31,2000,33
305770,2024-09-25,06.11.2024,180000,Նիկողայոս Տիգրանյան փողոց,Երևան,1,2,2,5,48.0,1,1,2.75,4,3,1,4,1,0,0,1,1,0,0,0,0,0,0,0,1,3,3,5,0,0,1,0,0,0,0,0,0,0,42,3750,48
449256,2023-09-28,06.11.2024,663000,Հյուսիսային պողոտա,Երևան,3,1,1,11,100.0,3,2,3.2,11,2,1,2,1,1,1,1,1,1,0,0,1,1,1,1,1,2,3,2,1,1,0,0,1,1,1,0,1,0,405,6630,33
230312,2023-12-04,06.11.2024,220000,Չեխովի փողոց 56,Երևան,2,2,1,13,54.0,2,1,2.75,8,3,1,3,1,1,1,1,1,1,1,0,1,1,1,1,1,2,3,2,0,1,0,1,1,0,0,1,0,0,338,4074,27
305770,2024-10-20,06.11.2024,265000,Վիկտոր Համբարձումյան փողոց 2,Երևան,1,2,2,6,56.0,2,1,2.8,5,2,1,3,1,1,0,1,1,0,0,0,1,1,0,0,1,3,2,5,1,0,0,0,0,0,0,0,0,0,17,4732,28
305770,2024-11-06,,250000,Գյուլբենկյան փողոց,Երևան,2,2,1,9,50.0,2,1,2.75,8,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,5000,25
230312,2023-11-12,06.11.2024,150000,Մանանդյան փողոց 15,Երևան,1,2,2,3,36.0,2,1,3.2,3,4,2,1,0,0,1,1,0,0,0,0,1,0,0,0,3,3,3,5,0,1,0,0,0,0,0,0,0,0,360,4166,18
449256,2023-09-25,06.11.2024,300000,Բրյուսովի փողոց,Երեւան,2,2,1,16,75.0,3,1,2.75,3,3,1,6,1,1,1,1,1,0,0,0,1,1,1,1,2,3,3,4,0,1,1,1,1,0,1,0,0,0,408,4000,25
449256,2024-11-03,06.11.2024,260000,Քաջազնունու փողոց 32,Երևան,2,2,1,9,80.0,3,1,2.8,2,3,2,6,1,0,0,1,0,0,0,0,1,0,0,0,1,1,2,2,1,1,1,1,1,0,0,0,0,0,3,3250,26
449256,2024-10-03,06.11.2024,225000,Քաջազնունի փողոց 6,Երևան,2,2,1,9,45.0,1,1,2.75,4,4,1,1,0,1,0,1,0,0,0,0,1,1,0,0,2,3,3,2,1,0,1,0,0,0,0,0,0,0,34,5000,45
